time (s), mass (kg), angle, angle of attack, speed (m/s), mach, Cd, Gs, distance (m), altitude (m), thrust magnitude (N), drag magnitude (N), acc_x (m/s^2), acc_y (m/s^2), thrust_x (N), thrust_y (N), drag_x (N), drag_y (N), vel_x (m/s), vel_y (m/s), air_density (kg/m^3), speed of sound (m/s)
0.000000,6.397400,85.000000,0.000000,0.000000,0.000000,0.750000,0.000000,0.000000,330.000000,850.823000,0.000000,0.000000,0.000000,74.154111,847.585362,0.000000,0.000000,0.000000,0.000000,1.186660,339.025000
1.000010,6.205482,82.254212,79.850010,117.327182,0.352158,0.750000,11.756577,7.911149,390.301644,806.669602,31.019149,16.640190,114.125274,108.683501,799.314546,-5.471217,-30.532825,15.813133,116.256667,1.179755,338.792793
2.000020,6.173865,81.892886,80.636317,224.965211,0.670680,0.775130,10.469978,31.898836,561.652742,808.648524,115.170597,15.446702,101.542318,114.021628,800.569487,-18.741553,-113.635473,31.725527,222.716944,1.160298,338.131389
3.000030,6.142247,81.707313,80.816719,317.561416,0.947368,0.913122,5.495163,71.347444,834.906946,652.558937,262.720194,8.517285,53.230435,94.110869,645.737029,-41.928696,-259.352820,45.801851,314.241059,1.129780,337.074372
4.000040,6.110629,81.595803,80.762471,339.328956,1.015863,1.040094,2.318683,120.146706,1167.309250,251.408090,330.621182,-2.683148,-22.587472,36.742305,248.708726,-53.069182,-326.334227,49.594794,335.685116,1.093493,335.783763
5.000050,6.079012,81.462021,80.543803,307.768160,0.925447,0.875572,3.612965,167.921097,1488.283802,65.999568,221.922996,-4.398556,-35.169196,9.797700,65.268278,-36.455411,-218.908244,45.692789,304.357371,1.059300,334.532865
6.000060,6.047394,81.271307,80.233586,272.079469,0.821700,0.799297,3.589288,211.423344,1774.999792,0.000000,153.995601,-4.324701,-34.944315,0.000000,0.000000,-26.117928,-151.764617,41.289645,268.928248,1.029455,333.412001
7.000070,6.015776,81.027713,79.853982,240.275430,0.728699,0.784598,2.941990,250.716273,2027.533883,0.000000,115.055984,-3.372496,-28.663197,0.000000,0.000000,-20.263902,-113.257467,37.472569,237.335393,1.003707,332.420864
8.000080,6.000000,80.725787,79.408665,213.816842,0.651089,0.772334,2.483197,286.618116,2251.279019,0.000000,87.787089,-2.691570,-24.211011,0.000000,0.000000,-16.131880,-86.292152,34.458647,211.021903,0.981308,331.540884
9.000090,6.000000,80.357110,78.887017,191.238241,0.584679,0.761840,2.146261,319.816489,2450.732133,0.000000,67.976468,-2.185318,-20.941103,0.000000,0.000000,-13.098796,-66.702486,32.033705,188.536221,0.961665,330.754071
10.000100,6.000000,79.910706,78.275229,171.533897,0.526586,0.752662,1.894052,350.821634,2629.190019,0.000000,53.143289,-1.801064,-18.493156,0.000000,0.000000,-10.796274,-52.035081,30.049783,168.881285,0.944345,330.048240
11.000110,6.000000,79.372037,77.555126,153.994683,0.474773,0.750000,1.705738,380.019480,2789.113576,0.000000,42.069182,-1.511787,-16.664857,0.000000,0.000000,-9.063115,-41.081334,28.401400,151.352974,0.929028,329.415546
12.000120,6.000000,78.721568,76.702323,138.098935,0.427751,0.750000,1.558696,407.702320,2932.348902,0.000000,33.419143,-1.281727,-15.236997,0.000000,0.000000,-7.684110,-32.523739,27.008975,135.432017,0.915472,328.846604
13.000130,6.000000,77.931622,75.683813,123.521962,0.384607,0.750000,1.440529,434.101173,3060.330082,0.000000,26.466754,-1.091206,-14.089396,0.000000,0.000000,-6.542013,-25.645489,25.825834,120.791975,0.903488,328.337680
14.000140,6.000000,76.963677,74.454282,110.021305,0.344669,0.750000,1.344791,459.407164,3174.208683,0.000000,20.833491,-0.930930,-13.159516,0.000000,0.000000,-5.581155,-20.071997,24.817365,107.185754,0.892926,327.885165
15.000150,6.000000,75.762894,72.950100,97.411368,0.307444,0.750000,1.266831,483.780993,3274.917373,0.000000,16.246142,-0.794164,-12.402215,0.000000,0.000000,-4.761180,-15.532813,23.956881,94.419502,0.883663,327.483331
16.000160,6.000000,74.248882,71.079544,85.550558,0.272574,0.750000,1.203232,507.359738,3363.215439,0.000000,12.504207,-0.675950,-11.784340,0.000000,0.000000,-4.052393,-11.829340,23.223489,82.338129,0.875603,327.131138
17.000170,6.000000,72.299591,68.706408,74.334243,0.239830,0.750000,1.151450,530.261836,3439.722186,0.000000,9.458553,-0.572614,-11.281201,0.000000,0.000000,-3.432781,-8.813640,22.600573,70.815209,0.868665,326.825111
18.000180,6.000000,69.721897,65.621642,63.693399,0.209116,0.750000,1.109568,552.590780,3504.941778,0.000000,6.997354,-0.481473,-10.874212,0.000000,0.000000,-2.886265,-6.374358,22.074679,59.745775,0.862784,326.564233
19.000190,6.000000,66.195202,61.493265,53.601166,0.180505,0.750000,1.076131,574.437812,3559.281944,0.000000,5.036400,-0.400684,-10.549238,0.000000,0.000000,-2.401827,-4.426799,21.634606,49.041094,0.857907,326.346872
20.000200,6.000000,61.158586,55.778555,44.094406,0.154310,0.750000,1.050013,595.883753,3603.068188,0.000000,3.512488,-0.329281,-10.295362,0.000000,0.000000,-1.973684,-2.905536,21.270566,38.624858,0.853993,326.171727
21.000210,6.000000,53.583803,47.586198,35.329455,0.131228,0.750000,1.030304,616.999952,3636.554787,0.000000,2.378744,-0.267434,-10.103746,0.000000,0.000000,-1.602908,-1.757586,20.973204,28.430531,0.851009,326.037781
22.000220,6.000000,41.589343,35.566955,27.719700,0.112537,0.750000,1.016151,637.848043,3659.933752,0.000000,1.601321,-0.217116,-9.966078,0.000000,0.000000,-1.301398,-0.933055,20.732161,18.399979,0.848930,325.944265
23.000230,6.000000,22.449776,18.380470,22.217579,0.100203,0.750000,1.006442,658.477890,3673.343390,0.000000,1.156851,-0.182986,-9.871505,0.000000,0.000000,-1.097200,-0.366682,20.533812,8.484303,0.847739,325.890626
24.000240,6.000000,-4.109481,-3.218659,18.056893,0.089111,0.750000,1.869705,678.753393,3676.882322,0.000000,95.450299,-15.993791,-8.978889,0.000000,-0.000000,-95.310941,5.155969,18.010467,-1.294002,0.847425,325.876471
25.000250,6.000000,-45.635731,-32.500893,11.822401,0.064557,0.750000,0.875362,691.110952,3671.744648,0.000000,44.488456,-6.283042,-5.853639,0.000000,-0.000000,-37.583800,23.805056,8.266432,-8.451940,0.847882,325.897021
26.000260,6.000000,-75.779958,-57.689182,13.608652,0.059787,0.750000,0.546367,696.713030,3660.726639,0.000000,43.854144,-3.925128,-3.649865,0.000000,-0.000000,-23.503100,37.024185,3.342917,-13.191675,0.848860,325.941093
27.000270,6.000000,-89.540604,-72.106364,15.881068,0.059482,0.750000,0.324333,698.328874,3646.033851,0.000000,50.205809,-2.583915,-1.856507,0.000000,-0.000000,-15.469153,47.763256,0.127333,-15.880558,0.850166,325.999865
